Battle Quiz #,Question #,Group,Quiz Title,Difficulty,Type,Question,Option A,Option B,Option C,Option D,Correct Answer,Fun Fact
50,2,"General K-pop","K-pop boy group generations timeline","hard","multiple_choice","Put these 4th gen boy groups in debut order","Stray Kids -> ATEEZ -> TXT -> ENHYPEN","ENHYPEN -> ATEEZ -> TXT -> Stray Kids","ATEEZ -> Stray Kids -> ENHYPEN -> TXT","TXT -> Stray Kids -> ENHYPEN -> ATEEZ","Stray Kids -> ATEEZ -> TXT -> ENHYPEN",""
50,3,"General K-pop","K-pop albums that sold millions","hard","multiple_choice","Which album holds the record for fastest-selling K-pop album in first week (as of 2023)?","FML by SEVENTEEN (4.6M+)","Map of the Soul: 7 by BTS","Proof by BTS","BORN PINK by BLACKPINK","FML by SEVENTEEN (4.6M+)",""
50,4,"LE SSERAFIM","LE SSERAFIM true or false","medium","true_false","LE SSERAFIM debuted under Source Music","True","False","","","True",""
50,5,"NewJeans","NewJeans Hype Boy vs Attention quiz","medium","multiple_choice","Which NewJeans song was released first: Attention or Hype Boy?","They were released simultaneously","Attention first","Hype Boy first","Cookie was first","They were released simultaneously",""
51,1,"Stray Kids","Stray Kids members deep knowledge","hard","multiple_choice","Who is the oldest member of Stray Kids?","Lee Know","Bang Chan","Hyunjin","Changbin","Bang Chan",""
51,2,"ITZY","ITZY members quiz","easy","multiple_choice","Which company does ITZY belong to?","SM Entertainment","YG Entertainment","HYBE","JYP Entertainment","JYP Entertainment",""
51,3,"BLACKPINK","BLACKPINK true or false","medium","true_false","Jennie was the first BLACKPINK member to debut solo","True","False","","","True",""
51,4,"General K-pop","Can You Name These Male K-pop Idols?","medium","image","Who is this idol?","Soobin","Yeonjun","Beomgyu","Taehyun","Soobin","Soobin is the leader and tallest member of TXT"
51,5,"aespa","aespa discography quiz","medium","multiple_choice","Which aespa song uses the catchphrase 'I'm on the Next Level'?","Black Mamba","Next Level","Girls","Savage","Next Level",""
52,1,"GOT7","GOT7 basics","medium","multiple_choice","Which GOT7 member is from Hong Kong and is also a solo artist and TV personality?","Youngjae","Mark","Jackson","BamBam","Jackson",""
52,2,"BTS","Find the Non-BTS Member","easy","intruder","Find the intruder","Jimin","V","Jungkook","Felix","Felix","Felix is known for his deep voice and freckles"
52,3,"General K-pop","Can You Name These Male K-pop Idols?","medium","image","Who is this idol?","Hongjoong","San","Wooyoung","Yunho","Hongjoong","Hongjoong writes and produces most of ATEEZ music"
52,4,"General K-pop","Name the group from the fandom name","hard","multiple_choice","Which group has the fandom name 'MOA'?","ATEEZ","ENHYPEN","Stray Kids","TXT","TXT",""
52,5,"BLACKPINK","Are you a true BLINK? BLACKPINK trivia","easy","multiple_choice","How many members are in BLACKPINK?","3","4","5","6","4","BLACKPINK has 4 members: Jisoo, Jennie, Rose, and Lisa."
53,1,"General K-pop","Super Junior legacy quiz","medium","multiple_choice","Which Super Junior song is one of the most iconic K-pop songs of all time?","Sexy Free & Single","Sorry Sorry","Bonamana","Mr. Simple","Sorry Sorry",""
53,2,"General K-pop","K-pop lightstick colors and shapes","hard","true_false","TWICE's lightstick is called 'Candy Bong'","True","False","","","True",""
53,3,"General K-pop","Name the group from the fandom name","hard","multiple_choice","Which group has the fandom name 'Bunnies'?","NewJeans","LE SSERAFIM","IVE","aespa","NewJeans",""
53,4,"General K-pop","2NE1 legacy quiz","medium","multiple_choice","What year did 2NE1 officially disband?","2016","2015","2014","2017","2016",""
53,5,"General K-pop","K-pop choreography quiz","medium","multiple_choice","What is a 'point choreography' in K-pop?","A signature dance move that represents the song","A solo dance break","The full choreography","The opening dance","A signature dance move that represents the song",""
54,1,"BLACKPINK","BLACKPINK title tracks challenge","medium","multiple_choice","Which BLACKPINK song features the lyrics 'look at you now look at me'?","DDU-DU DDU-DU","How You Like That","Kill This Love","Lovesick Girls","How You Like That","How You Like That was a pre-release single that broke multiple YouTube records in 2020."
54,2,"NewJeans","NewJeans members quiz","easy","multiple_choice","Which member is the youngest in NewJeans?","Hanni","Haerin","Danielle","Hyein","Hyein",""
54,3,"General K-pop","K-pop music show programs quiz","medium","multiple_choice","How does a group win #1 on a Korean music show?","Views on YouTube only","Fan voting only","Combination of digital sales, physical sales, voting, and broadcast points","Album sales only","Combination of digital sales, physical sales, voting, and broadcast points",""
54,4,"General K-pop","HYBE groups quiz","medium","multiple_choice","Which of these groups is NOT under the HYBE umbrella?","LE SSERAFIM","BTS","SEVENTEEN","aespa","aespa",""
54,5,"EXO","EXO discography challenge","hard","multiple_choice","Which EXO album contains the hit song 'Love Shot'?","EXODUS","DON'T MESS UP MY TEMPO (repackage)","XOXO","THE WAR","DON'T MESS UP MY TEMPO (repackage)",""
55,1,"General K-pop","K-pop debut songs true or false","medium","true_false","BLACKPINK's debut song was 'As If It's Your Last'","True","False","","","False",""
55,2,"General K-pop","K-pop sasaeng and fan culture dark side","medium","true_false","'Akgae' fans are fans who only support one member while hating on others in the group","True","False","","","True",""
55,3,"General K-pop","K-pop idols in dramas true or false","medium","true_false","D.O. from EXO is known for his acting career","True","False","","","True",""
55,4,"IVE","IVE members quiz","easy","multiple_choice","What is IVE's fandom name?","IVY","DIVE","STAR","LOVE","DIVE",""
55,5,"General K-pop","K-pop birthplace quiz - where are they from?","hard","multiple_choice","Lisa (BLACKPINK) is from which country?","Thailand","South Korea","China","Japan","Thailand",""
56,1,"General K-pop","K-pop companies quiz","medium","multiple_choice","Which company manages Stray Kids and TWICE?","SM Entertainment","YG Entertainment","JYP Entertainment","HYBE","JYP Entertainment",""
56,2,"General K-pop","K-pop food quiz - idols and their favorites","easy","true_false","Korean fried chicken (chikin) is a popular food among K-pop idols","True","False","","","True",""
56,3,"General K-pop","Name That Boy Group Album","hard","image","Which album is this?","5-STAR","ROCK-STAR","MAXIDENT","ODDINARY","5-STAR","5-STAR debuted at number one on the Billboard 200"
56,4,"General K-pop","Super Junior legacy quiz","medium","multiple_choice","What year did Super Junior debut?","2007","2006","2004","2005","2005",""
56,5,"ITZY","ITZY members quiz","easy","multiple_choice","What year did ITZY debut?","2018","2021","2019","2020","2019",""
57,1,"BTS","BTS Map of the Soul era","hard","multiple_choice","Which solo track on Map of the Soul: 7 belongs to Jungkook?","Filter","My Time","Inner Child","Moon","My Time",""
57,2,"General K-pop","Find the 3rd Gen Intruder Among 4th Gen","hard","intruder","Find the idol who is NOT 4th gen","Soobin (TXT)","Heeseung (ENHYPEN)","Gunwook (ZEROBASEONE)","Woozi (SEVENTEEN)","Woozi (SEVENTEEN)","Woozi debuted with SEVENTEEN in 2015"
57,3,"General K-pop","K-pop numbers quiz - how many members?","easy","multiple_choice","How many members does ATEEZ have?","6","7","9","8","8",""
57,4,"General K-pop","JYP Entertainment groups quiz","medium","multiple_choice","Park Jin-young (JYP) is known for which of his own hits?","Growl","She Was Pretty / Honey","Gangnam Style","Sorry Sorry","She Was Pretty / Honey",""
57,5,"ATEEZ","ATEEZ basics for ATINYs","easy","multiple_choice","How many members are in ATEEZ?","9","7","6","8","8",""
58,1,"aespa","aespa achievements and milestones quiz","medium","multiple_choice","aespa won Rookie of the Year at which major awards show?","Only MAMA","Only MMA","Both MAMA and MMA","They didn't win any","Both MAMA and MMA","aespa swept multiple Rookie of the Year awards in 2021, winning at both MAMA and Melon Music Awards."
58,2,"SEVENTEEN","SEVENTEEN true or false","medium","true_false","Joshua and Vernon are both Korean-American","True","False","","","True",""
58,3,"General K-pop","K-pop boy group generations timeline","hard","multiple_choice","Put these boy groups in debut order (earliest to latest)","SHINee -> BIGBANG -> BTS -> EXO -> SEVENTEEN","BTS -> EXO -> SHINee -> BIGBANG -> SEVENTEEN","BIGBANG -> SHINee -> EXO -> BTS -> SEVENTEEN","EXO -> BTS -> BIGBANG -> SEVENTEEN -> SHINee","BIGBANG -> SHINee -> EXO -> BTS -> SEVENTEEN",""
58,4,"General K-pop","Can You Recognize These Idols as Kids?","hard","image","Who is this idol as a child?","IU","Taeyeon","Suzy","Yoona","IU","IU chose her stage name because I and You become one through music"
58,5,"ATEEZ","ATEEZ members quiz","medium","multiple_choice","Which ATEEZ member is known for being able to break apples with his bare hands?","San","Mingi","Jongho","Yunho","Jongho",""
59,1,"SEVENTEEN","SEVENTEEN FML era quiz","hard","multiple_choice","SEVENTEEN performed at which legendary UK music festival in 2024?","Lollapalooza","Reading Festival","Coachella","Glastonbury","Glastonbury",""
59,2,"General K-pop","Which company is this group from?","medium","multiple_choice","Which company is ENHYPEN from?","SM Entertainment","JYP Entertainment","BELIFT LAB / HYBE","YG Entertainment","BELIFT LAB / HYBE",""
59,3,"General K-pop","PSY and Gangnam Style era","easy","multiple_choice","'Gangnam' refers to a district in which city?","Seoul","Daegu","Busan","Incheon","Seoul",""
59,4,"NMIXX","NMIXX members quiz","medium","multiple_choice","Which company does NMIXX belong to?","JYP Entertainment","HYBE","YG Entertainment","SM Entertainment","JYP Entertainment",""
59,5,"General K-pop","f(x) quiz - SM's unique girl group","hard","multiple_choice","Which f(x) member went on to become a successful actress in China?","Victoria","Krystal","Luna","Amber","Victoria",""
60,1,"LE SSERAFIM","LE SSERAFIM basics","easy","multiple_choice","What year did LE SSERAFIM debut?","2020","2022","2023","2021","2022",""
60,2,"BLACKPINK","BLACKPINK members quiz","easy","multiple_choice","What year did BLACKPINK debut?","2017","2018","2016","2015","2016",""
60,3,"Stray Kids","How well do you know SKZ members?","easy","multiple_choice","Which member was a backup dancer before becoming a trainee?","Felix","Hyunjin","Lee Know","I.N","Lee Know","Lee Know was a backup dancer for BTS before auditioning for JYP and joining Stray Kids."
60,4,"General K-pop","K-pop training system quiz","medium","multiple_choice","What happens during monthly evaluations at K-pop companies?","They choose their own songs","Trainees perform and are evaluated; poor performers may be eliminated","They get a day off","They visit other companies","Trainees perform and are evaluated; poor performers may be eliminated",""
60,5,"TWICE","TWICE Japanese discography","hard","multiple_choice","Mina is from which Japanese city?","Tokyo","Kyoto","Osaka","Kobe","Kobe",""
61,1,"General K-pop","K-pop industry business quiz","hard","multiple_choice","HYBE became the largest K-pop company by market cap in what year approximately?","2015","2018","2020 (after IPO)","2023","2020 (after IPO)",""
61,2,"General K-pop","K-pop birthplace true or false","medium","true_false","Rose from BLACKPINK was born in New Zealand","True","False","","","True",""
61,3,"(G)I-DLE","(G)I-DLE Tomboy era quiz","medium","multiple_choice","Which former member left (G)I-DLE in 2022?","Shuhua","Miyeon","Yuqi","Soojin","Soojin",""
61,4,"Stray Kids","Stray Kids discography challenge","hard","multiple_choice","Which was Stray Kids' debut track?","Miroh","Hellevator","District 9","My Pace","District 9","District 9 was the title track from their debut EP I Am NOT, though Hellevator was their pre-debut single."
61,5,"General K-pop","K-pop Weverse and social media quiz","medium","true_false","K-pop idols commonly use Weverse to communicate with fans","True","False","","","True",""
62,1,"General K-pop","K-pop songs with colors in the title","medium","multiple_choice","'Blood Sweat & Tears' is by which group?","ATEEZ","BTS","EXO","Stray Kids","BTS",""
62,2,"General K-pop","K-pop generations quiz","hard","multiple_choice","Which group is considered the start of 2nd generation K-pop?","Wonder Girls","Super Junior","TVXQ","BIGBANG","TVXQ",""
62,3,"General K-pop","Name the group from the fandom name","hard","multiple_choice","Which group has the fandom name 'MY' (sometimes written as 'MYs')?","NewJeans","ITZY","IVE","aespa","aespa",""
62,4,"TXT","TXT members deep knowledge","medium","multiple_choice","Which TXT member was a Big Hit trainee for the longest before debut?","Taehyun","Soobin","Beomgyu","Yeonjun","Yeonjun",""
62,5,"General K-pop","K-pop lightstick colors and shapes","hard","true_false","Red Velvet's lightstick looks like a red balloon","True","False","","","False",""
63,1,"aespa","aespa members and concepts","easy","multiple_choice","Which aespa member is from China?","Ningning","Karina","Winter","Giselle","Ningning",""
63,2,"General K-pop","K-pop idols in Korean dramas","hard","multiple_choice","Which EXO member starred in the drama '100 Days My Prince'?","Chanyeol","D.O.","Suho","Baekhyun","D.O.",""
63,3,"BTS","BTS discography challenge","medium","multiple_choice","What was BTS's first song entirely in English?","Permission to Dance","Dynamite","Boy With Luv","Butter","Dynamite",""
63,4,"BLACKPINK","BLACKPINK solo careers quiz - test your knowledge","medium","multiple_choice","What is the name of Jennie's first solo single?","Flower","SOLO","LALISA","On The Ground","SOLO","SOLO was released in November 2018, making Jennie the first BLACKPINK member to debut solo."
63,5,"General K-pop","K-pop variety show moments","hard","multiple_choice","Which variety show has been a rite of passage for K-pop groups, featuring relay dances?","Knowing Brothers","Weekly Idol","Idol Room","Running Man","Weekly Idol",""
64,1,"NewJeans","NewJeans Hype Boy vs Attention quiz","medium","multiple_choice","What is the name of NewJeans' first studio album released in 2024?","How Sweet","OMG","Supernatural","Get Up","How Sweet",""
64,2,"BLACKPINK","BLACKPINK true or false","medium","true_false","BLACKPINK debuted under SM Entertainment","True","False","","","False",""
64,3,"General K-pop","K-pop Weverse and social media quiz","medium","true_false","Twitter/X is the primary platform for K-pop fan community organizing","True","False","","","True",""
64,4,"TXT","TXT members deep knowledge","medium","multiple_choice","What is TXT's fandom name?","DREAM","MAGIC","STAR","MOA (Moments of Alwaysness)","MOA (Moments of Alwaysness)",""
64,5,"BLACKPINK","BLACKPINK world records and achievements","hard","multiple_choice","BLACKPINK holds the record for most-subscribed music group on which platform?","Spotify","Instagram","YouTube","TikTok","YouTube",""
65,1,"General K-pop","K-pop survival shows quiz","hard","multiple_choice","Which survival show brought together Korean and Japanese trainees?","Nizi Project","Produce 101","Girls Planet 999","Produce 48","Produce 48",""
65,2,"General K-pop","K-pop boy group generations timeline","hard","multiple_choice","Which debuted first: BTS or EXO?","BTS debuted first","EXO (April 2012) - BTS debuted June 2013","Same year","Neither - both in 2014","EXO (April 2012) - BTS debuted June 2013",""
65,3,"General K-pop","K-pop Weverse and social media quiz","medium","true_false","BTS has the most followers of any music group on Instagram","True","False","","","False",""
65,4,"SEVENTEEN","SEVENTEEN basics for CARATs","easy","multiple_choice","Why is the group called SEVENTEEN when they have 13 members?","17 is their lucky number","They debuted on the 17th","13 members + 3 units + 1 group = 17","They originally had 17 members","13 members + 3 units + 1 group = 17",""
65,5,"TWICE","TWICE true or false","medium","true_false","Tzuyu is from Taiwan","True","False","","","True",""
66,1,"General K-pop","Find the Music Video That Does Not Belong","medium","intruder","Find the MV that is NOT from MAMAMOO","HIP","gogobebe","Dingga","Dumhdurum","Dumhdurum","Dumhdurum is by Apink"
66,2,"General K-pop","SM Entertainment groups quiz","medium","multiple_choice","Which of these groups is NOT under SM Entertainment?","BTS","Red Velvet","aespa","EXO","BTS",""
66,3,"TXT","TXT members deep knowledge","medium","multiple_choice","Who is the maknae of TXT?","Taehyun","Huening Kai","Beomgyu","Soobin","Huening Kai",""
66,4,"Stray Kids","Stray Kids basics","easy","multiple_choice","What year did Stray Kids debut?","2019","2018","2017","2020","2018",""
66,5,"aespa","aespa lore and KWANGYA universe trivia","hard","multiple_choice","What does the 'ae' in aespa stand for?","Artificial experience","Avatar and experience","Augmented experience","All of the above","Avatar and experience","ae represents both the members' Avatar and Experience, central concepts in their lore."
67,1,"General K-pop","K-pop TikTok viral moments","medium","multiple_choice","Which NewJeans song created one of the biggest K-pop TikTok trends?","Hype Boy","Super Shy","Ditto","Attention","Hype Boy",""
67,2,"BTS","BTS members - know your biases","easy","multiple_choice","Who is the youngest member (maknae) of BTS?","J-Hope","V","Jimin","Jungkook","Jungkook",""
67,3,"General K-pop","MAMAMOO true or false","medium","true_false","MAMAMOO has 4 members","True","False","","","True",""
67,4,"BTS","BTS members - know your biases","easy","multiple_choice","What is RM's real name?","Min Yoongi","Jung Hoseok","Kim Seokjin","Kim Namjoon","Kim Namjoon",""
67,5,"TWICE","TWICE members facts quiz","medium","multiple_choice","What is Nayeon's debut solo single?","ABCD","POP!","Dice","Santa Tell Me","POP!","POP! became a viral hit and established Nayeon as a successful solo artist."
68,1,"General K-pop","K-pop fun facts true or false - volume 2","hard","true_false","EXO originally debuted with 12 members in two sub-units","True","False","","","True",""
68,2,"Stray Kids","Stray Kids members deep knowledge","hard","multiple_choice","Which Stray Kids member is known for his extremely deep voice despite being from Australia?","Changbin","Han","Felix","Bang Chan","Felix",""
68,3,"TWICE","TWICE members - Once test","easy","multiple_choice","What is TWICE's fandom name?","CARAT","ONCE","MIDZY","BLINK","ONCE",""
68,4,"MONSTA X","MONSTA X quiz","medium","multiple_choice","What year did MONSTA X debut?","2016","2015","2017","2014","2015",""
68,5,"General K-pop","Super Junior legacy quiz","medium","multiple_choice","How many members did Super Junior originally debut with?","12 (then added Kyuhyun as 13th)","9","7","15","12 (then added Kyuhyun as 13th)",""
69,1,"General K-pop","PSY and Gangnam Style era","easy","multiple_choice","PSY was previously signed to which major K-pop company?","JYP Entertainment","SM Entertainment","HYBE","YG Entertainment","YG Entertainment",""
69,2,"BLACKPINK","BLACKPINK discography deep dive","medium","multiple_choice","Which BLACKPINK song was the first K-pop group MV to reach 1 billion views on YouTube?","Boombayah","Kill This Love","DDU-DU DDU-DU","How You Like That","DDU-DU DDU-DU",""
69,3,"General K-pop","HYBE groups quiz","medium","multiple_choice","Which HYBE boy group debuted through the I-LAND survival show?","ENHYPEN","BOYNEXTDOOR","SEVENTEEN","TXT","ENHYPEN",""
69,4,"ATEEZ","ATEEZ discography challenge","hard","multiple_choice","What is the name of ATEEZ's fictional storyline/universe?","HALATEEZ / THE WORLD series","KINGDOM series","ATEENIVERSE","PIRATE WORLD","HALATEEZ / THE WORLD series",""
69,5,"Stray Kids","Stray Kids discography test","medium","multiple_choice","Which Stray Kids album was their first to reach #1 on the Billboard 200?","NOEASY","5-STAR","ODDINARY","MAXIDENT","5-STAR",""
70,1,"General K-pop","JYP Entertainment groups quiz","medium","multiple_choice","Which JYP boy group debuted in 2018?","Stray Kids","2PM","Day6","GOT7","Stray Kids",""
70,2,"TWICE","TWICE title tracks challenge - name that song","medium","multiple_choice","What was TWICE's first English single?","The Feels","Moonlight Sunrise","Set Me Free","I Can't Stop Me","The Feels","The Feels was released in October 2021 and peaked at #83 on the Billboard Hot 100."
70,3,"SHINee","SHINee legends quiz","medium","multiple_choice","What is SHINee's fandom name?","Shawol","World","SHINing","Light","Shawol",""
70,4,"BTS","Only real ARMYs can pass this BTS debut quiz","medium","multiple_choice","Who is the leader of BTS?","Jin","Suga","RM","J-Hope","RM","RM (Kim Namjoon) has been the leader since debut. He was the first member recruited by Bang Si-hyuk."
70,5,"General K-pop","K-pop girl group generations timeline","hard","multiple_choice","Which girl group debuted first: TWICE or BLACKPINK?","BLACKPINK debuted first","TWICE (2015) - BLACKPINK debuted in 2016","Neither - they debuted in 2017","They debuted the same year","TWICE (2015) - BLACKPINK debuted in 2016",""
71,1,"TWICE","TWICE true or false","medium","true_false","TWICE has 9 members","True","False","","","True",""
71,2,"BTS","BTS achievements and records","hard","multiple_choice","Which BTS song's music video broke the record for most YouTube views in 24 hours in 2020?","Dynamite","ON","Butter","Black Swan","Dynamite",""
71,3,"General K-pop","K-pop training system quiz","medium","multiple_choice","What does 'pre-debut' content mean in K-pop?","Fan-made content","Concert recordings","Content released before the group officially debuts to build a fanbase","Music released after disbanding","Content released before the group officially debuts to build a fanbase",""
71,4,"aespa","MY quiz - how well do you know aespa?","easy","multiple_choice","Who is the leader of aespa?","Winter","Karina","Giselle","NingNing","Karina","Karina (Yu Jimin) is the leader and one of the main dancers and rappers."
71,5,"General K-pop","Can You Recognize These Idols as Kids?","hard","image","Who is this idol as a child?","Jennie","Lisa","Joy","Irene","Jennie","Jennie lived in New Zealand for 5 years as a child"
72,1,"Stray Kids","How well do you know SKZ members?","easy","multiple_choice","Which Stray Kids members are from Australia?","Bang Chan and Felix","Felix and Hyunjin","Bang Chan and Han","Lee Know and Felix","Bang Chan and Felix","Bang Chan is from Sydney and Felix is from Sydney as well. Both are Korean-Australian."
72,2,"ITZY","ITZY true or false","easy","true_false","Yeji is the leader of ITZY","True","False","","","True",""
72,3,"Stray Kids","SKZ producing and self-made trivia","hard","multiple_choice","What is Han's alias in 3RACHA?","SpearB","J.ONE","HAN.zip","Quokka","J.ONE","J.ONE is Han Jisung's producing alias used in 3RACHA credits."
72,4,"General K-pop","MAMAMOO members and facts","medium","multiple_choice","MAMAMOO is known for which type of musical strength?","Powerful live vocals","Acting skills","Synchronized dancing","Rap battles","Powerful live vocals",""
72,5,"General K-pop","K-pop Weverse and fan platforms","medium","multiple_choice","Weverse is a fan communication platform created by which company?","JYP Entertainment","Kakao","SM Entertainment","HYBE (Weverse Company)","HYBE (Weverse Company)",""
73,1,"General K-pop","WINNER and iKON quiz - YG brothers","hard","multiple_choice","Which survival show formed both WINNER and iKON?","Stray Kids","WIN: Who Is Next","YG Treasure Box","Mix & Match","WIN: Who Is Next",""
73,2,"aespa","aespa MY concept universe","hard","multiple_choice","What are aespa's AI virtual counterparts called?","AI-members","ae-members (ae-Karina, ae-Winter, etc.)","Digital-members","Virtual-members","ae-members (ae-Karina, ae-Winter, etc.)",""
73,3,"TWICE","TWICE members - Once test","easy","multiple_choice","What year did TWICE debut?","2015","2017","2016","2014","2015",""
73,4,"General K-pop","K-pop songs with colors in the title","medium","multiple_choice","'Pink Venom' is a song by which group?","aespa","Red Velvet","ITZY","BLACKPINK","BLACKPINK",""
73,5,"General K-pop","K-pop training system quiz","medium","multiple_choice","K-pop trainees typically live where during their training?","Schools","Hotels","Their own homes","Company dormitories","Company dormitories",""
74,1,"Stray Kids","Stray Kids true or false","medium","true_false","Stray Kids debuted under SM Entertainment","True","False","","","False",""
74,2,"General K-pop","K-pop fun facts true or false - volume 2","hard","true_false","SEVENTEEN's Woozi has produced most of the group's music","True","False","","","True",""
74,3,"BLACKPINK","BLACKPINK solo careers quiz - test your knowledge","medium","multiple_choice","What is Lisa's debut solo song called?","Money","LALISA","Rockstar","Swallow","LALISA","LALISA set the record for the most-viewed music video by a solo K-pop artist in 24 hours."
74,4,"(G)I-DLE","(G)I-DLE true or false","medium","true_false","Minnie is from Thailand","True","False","","","True",""
74,5,"General K-pop","K-pop music video themes quiz","medium","multiple_choice","BTS's 'Blood Sweat & Tears' MV features references to which art movement?","Pop art","Abstract expressionism","Classical art and Renaissance paintings","Cubism","Classical art and Renaissance paintings",""
75,1,"General K-pop","K-pop variety show moments","hard","multiple_choice","BTS's variety content series is called what?","Run BTS","BTS World","Bangtan Bomb","BTS Time","Run BTS",""
75,2,"Stray Kids","Stray Kids achievements and records quiz","medium","multiple_choice","Stray Kids performed at which major competition show in 2021?","Produce 101","Kingdom: Legendary War","MAMA","Road to Kingdom","Kingdom: Legendary War","Stray Kids won Kingdom: Legendary War in 2021, significantly boosting their profile."
75,3,"General K-pop","K-pop album packaging quiz","easy","true_false","K-pop physical album sales count toward Korean music chart rankings","True","False","","","True",""
75,4,"General K-pop","2NE1 legacy quiz","medium","multiple_choice","Which company did 2NE1 belong to?","HYBE","YG Entertainment","SM Entertainment","JYP Entertainment","YG Entertainment",""
75,5,"General K-pop","K-pop OST (drama soundtracks) quiz","hard","multiple_choice","IU's 'My Mister' drama featured which genre of music?","Dance pop","Emotional ballads","Hip hop","Rock","Emotional ballads",""
76,1,"BTS","Only real ARMYs can pass this BTS debut quiz","medium","multiple_choice","What does BTS stand for in Korean?","Beyond The Scene","Bangtan Sonyeondan","Born To Shine","Boys That Sing","Bangtan Sonyeondan","Bangtan Sonyeondan translates to Bulletproof Boy Scouts. Beyond The Scene was added as an English meaning in 2017."
76,2,"General K-pop","K-pop debut years challenge","medium","multiple_choice","Which two groups both debuted in 2015?","BTS and EXO","SEVENTEEN and TWICE","SEVENTEEN and BLACKPINK","BLACKPINK and TWICE","SEVENTEEN and TWICE",""
76,3,"General K-pop","K-pop birthplace quiz - where are they from?","hard","multiple_choice","Hanni (NewJeans) grew up in which country?","Japan","Australia (Vietnamese-Australian)","Vietnam","South Korea","Australia (Vietnamese-Australian)",""
76,4,"TXT","TXT members deep knowledge","medium","multiple_choice","TXT was the first boy group to debut under Big Hit after which group?","BTS","ENHYPEN","SEVENTEEN","NU'EST","BTS",""
76,5,"BTS","Find the Non-BTS Member","easy","intruder","Find the intruder","V","Jin","Jungkook","San","San","San is a member of ATEEZ"
77,1,"Stray Kids","SKZ producing and self-made trivia","hard","multiple_choice","Stray Kids are known as a 'self-produced' group. What percentage of their music do they typically write?","About 30%","About 50%","About 70%","Nearly all of it","Nearly all of it","Stray Kids members are credited on nearly all their songs, with 3RACHA leading production."
77,2,"ATEEZ","ATEEZ basics for ATINYs","easy","multiple_choice","What is ATEEZ's fandom name?","ATEENYZ","TEEZ","ATINEE","ATINY","ATINY",""
77,3,"SEVENTEEN","SEVENTEEN basics for CARATs","easy","multiple_choice","Which company does SEVENTEEN belong to?","JYP Entertainment","Pledis Entertainment","YG Entertainment","SM Entertainment","Pledis Entertainment",""
77,4,"General K-pop","K-pop concert facts true or false","hard","true_false","SEVENTEEN performed at Glastonbury Festival","True","False","","","True",""
77,5,"EXO","EXO discography challenge","hard","multiple_choice","What was EXO's breakthrough song in 2013 that won multiple music show awards?","MAMA","Overdose","Growl","Wolf","Growl",""
78,1,"BTS","BTS discography challenge - name that era","hard","multiple_choice","Which BTS song has a music video set in a train and bus stop?","Run","Spring Day","I Need U","Save Me","Spring Day","The Spring Day MV is filled with references to the short story The Ones Who Walk Away from Omelas."
78,2,"BTS","Find the Non-BTS Member","easy","intruder","Find the intruder","J-Hope","Jimin","V","Changbin","Changbin","Changbin is a rapper in Stray Kids"
78,3,"BTS","BTS true or false - harder edition","hard","true_false","J-Hope was part of a street dance team called NEURON before joining BTS","True","False","","","True",""
78,4,"ENHYPEN","ENHYPEN discography quiz","medium","multiple_choice","What was ENHYPEN's first EP called?","DIMENSION : ANSWER","DARK BLOOD","MANIFESTO : DAY 1","BORDER : DAY ONE","BORDER : DAY ONE",""
78,5,"General K-pop","K-pop industry business quiz","hard","multiple_choice","What is a typical K-pop idol contract length?","7 years (often called 'slave contract' era is over, but 7 years is standard)","Lifetime","1 year","3 years","7 years (often called 'slave contract' era is over, but 7 years is standard)",""
79,1,"General K-pop","K-pop Weverse and fan platforms","medium","multiple_choice","Bubble is a messaging app where fans can receive messages from idols. Which company created it?","SM Entertainment (Dear U)","YG","HYBE","JYP","SM Entertainment (Dear U)",""
79,2,"BLACKPINK","BLACKPINK true or false","medium","true_false","BLACKPINK's fandom name is BLINK","True","False","","","True",""
79,3,"TWICE","TWICE discography quiz","medium","multiple_choice","Which TWICE song features the famous crying face dance move?","Likey","What is Love?","TT","Cheer Up","TT",""
79,4,"ITZY","ITZY true or false","easy","true_false","ITZY's fandom name is MIDZY","True","False","","","True",""
79,5,"aespa","aespa lore and KWANGYA universe trivia","hard","multiple_choice","What are aespa's AI counterparts called?","Avatars","ae-members","Synk","naevis","ae-members","Each member has an ae counterpart: ae-Karina, ae-Giselle, ae-Winter, and ae-NingNing."
80,1,"ITZY","ITZY members quiz","easy","multiple_choice","Who is the leader of ITZY?","Ryujin","Lia","Chaeryeong","Yeji","Yeji",""
80,2,"Stray Kids","Stray Kids members deep knowledge","hard","multiple_choice","Which two Stray Kids members are from Australia?","Bang Chan and Felix","Bang Chan and Han","Felix and Lee Know","Han and Changbin","Bang Chan and Felix",""
80,3,"(G)I-DLE","(G)I-DLE true or false","medium","true_false","Yuqi is from Japan","True","False","","","False",""
80,4,"General K-pop","NCT Dream quiz","medium","multiple_choice","What was NCT Dream's debut song?","We Go Up","My First and Last","Chewing Gum","Boom","Chewing Gum",""
80,5,"General K-pop","K-pop debut years challenge","medium","multiple_choice","In what year did IVE debut?","2020","2022","2021","2023","2021",""
81,1,"aespa","aespa members facts quiz","easy","multiple_choice","Which member is known for her powerful vocals and high notes?","Karina","Giselle","Winter","NingNing","Winter","Winter is the main vocalist of aespa and is known for her strong, stable vocals during live performances."
